S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F)
301,Tuesday-March 1-2011,26 Raby` al-awal 1432 A.H,Working Day,,Night,Karachi,24.9918,66.9911,Sindh,near MDA flats along national highway-in Shah Latif Town,Park/Ground,Low,Open,,civilian,None,,0,,0,1,,NA,23.53,74.354
302,Thursday-March 3-2011,28 Raby` al-awal 1432 A.H,Working Day,,,Hangu,33.5351,71.0713,KPK,spin khawri chowk,Mobile,Low,Open,,Police,None,5,9,30,36,1,400Kg,NA,9.565,49.217
303,Wednesday-March 9-2011,4 Raby` al-THaany 1432 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,Adezai Village-sheikh Neka graveyard,Park/Ground,Low,Open,,Anti-Militants,Sunni,37,43,,52,1,16Kg,Lady Reading Hospital,18.605,65.489
304,Thursday-March 24-2011,19 Raby` al-THaany 1432 A.H,Working Day,,8:00 AM,Hangu,33.5351,71.0713,KPK,Rescue 15 Building adjecent to police station in Thall,Police,High,Open,,Police,None,5,8,25,30,1,250kg,CMH Thall,22.185,71.933
305,Wednesday-March 30-2011,25 Raby` al-THaany 1432 A.H,Working Day,,10:45 AM/ 11:00 AM,Swabi ,34.1335,72.4702,KPK,Peshawar- Islamabad Motorway-Swabi Interchange,Police,High,Open,,Government Official,None,10,13,12,23,1,8Kg,Shahmansoor Hospital Complex/Swabi District Hospital/khunda Civil Hospital and  LRH Peshawar,20.12,68.216
306,Thursday-March 31-2011,26 Raby` al-THaany 1432 A.H,Working Day,,12:45 PM,Charsadda,34.1509,71.7359,KPK,Near DCO office-Nowshehra road,Park/Ground,Low,Open,,Government Official,None,,12,20,42,1,,Lady reading hospital,19.405,66.929
307,Friday-April 1-2011,27 Raby` al-THaany 1432 A.H,Working Day,,,Dara Adam khel,33.6854,71.5131,KPK,near a mosque in Dara adam khel bazar-khalid market,Market,Low,Open,peace committee members were present in mosque,Anti-Militants,Sunni,,1,2,8,1,8kg,,18.315,64.967
308,Sunday-April 3-2011,29 Raby` al-THaany 1432 A.H,Holiday,Weekend,around 5pm and second attack after 15min/5:16:00 PM and second attack after 25 min,D.G Khan ,30.05,70.6333,KPK,sakhi arwar shrine-40 km away from D.G Khan,Religious,Medium,Open,Urs ceremony,Religious,Sunni,42,50,100,114,2,,sakhi sarwar civil hospital-dera district headquarters hospital,23.035,73.463
309,Monday-April 4-2011,30 Raby` al-THaany 1432 A.H,Working Day,,Monday After Noon,Lower Dir,34.8453,71.9046,KPK,Bargain Car market in Munda area of Lower Dir District,Market,Low,Open,,Anti-Militants,Sunni,7,9,22,30,1,8Kg,Temargara Hospital,16.585,61.853
310,Thursday-April 7-2011,3 Jumaada al-awal 1432 A.H,Working Day,,7:50 AM,Quetta,30.2095,67.0182,Baluchistan,Gulistan road-also known as police lines,Residence,Medium,Open,,Police,None,,1,17,19,1,180kg,Civil hospital-CMH,20.76,69.368
311,Saturday-April 23-2011,19 Jumaada al-awal 1432 A.H,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Salarzai area-65 km northeast of khar,Mobile,Low,Open,,Anti-Militants,Sunni,,5,5,8,1,,Agency headquarter hospital in Miranshah,26.34,79.412
312,Friday-May 13-2011,,Working Day,,6:00 AM,Charsadda,34.1509,71.7359,KPK,FC headquarters in Shabqadar-30km from peshawar,Military,High,Open,FC personnel were gathered there,Military,None,82,95,128,140,2,16-20kg,LRH ,29.285,84.713
313,Saturday-May 14-2011,,Working Day,,11:20:00 AM/ 11:00 AM,D.G Khan ,30.05,70.6333,KPK,MCB bank-Main bazar of Taunsa Sharif,Bank,Low,Open,,civilian,None,,3,,9,1,,,33.87,92.966
314,Wednesday-May 25-2011,,Working Day,,4:40 AM,Peshawar,34.0043,71.5448,KPK,CID station,Police,High,Closed,,Police,None,8,11,41,48,1,300kg,Lady reading hospital-khyber teaching complex-hayatabad medical complex,33.975,93.155
315,Thursday-May 26-2011,,Working Day,,6:00 PM,Hangu,33.5351,71.0713,KPK,checkpoint close to Hangu police station and hangu DPO office,Police,High,Open,,Police,None,28,32,55,60,1,450kg,hungu district headquarter hospital,27.53,81.554
316,Saturday-May 28-2011,,Working Day,,10:00 AM,Bajaur Agency,34.8718,71.5249,FATA,Bajaur Agency's salarzai village-near Afghan border,Market,Low,Open,,Anti-Militants,Sunni,,8,,11,1,,khar agency headquarter hospital,30.06,86.108
317,Sunday-June 5-2011,,Holiday,Weekend,8:45 PM,Nowshehra,34.0322,73.0944,KPK,Army run Bakery on Mall road-Nowshehra cantt,Military,High,Closed,,Military,None,18,19,28,45,1,8Kg,Lady reading hospital,32.48,90.464
318,Sunday-June 12-2011,,Holiday,Weekend,11:45 PM,Peshawar,34.0043,71.5448,KPK,Khyber super market-peshawar cantt,Market,Low,Open,,Civilian,None,32,35,80,107,1,10 Kg,Lady reading hospital,31.05,87.89
319,Monday-June 13-2011,,Working Day,,3:00 PM,Islamabad,33.718,73.0718,Capital,silk bank in I-8 markaz,Bank,Low,Open,,Civilian,None,1,2,4,6,1,7kg,PIMS-Shifa International hospital,32.085,89.753
320,Saturday-June 25-2011,,Working Day,,,D.I Khan ,31.8238,70.9095,KPK,Kolache Town,Police,High,Closed,,Police,None,,10,3,5,1,,,32.925,91.265
321,Monday-July 11-2011,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Bazar in Central Battagram,Market,Low,Open,,Government Official,None,,7,25,26,1,,Battagram District Headquarters hospital,31.545,88.781
322,Thursday-July 21-2011,,Working Day,,,South waziristan,32.3202,69.8597,FATA,South waziristan,Mobile,Low,Open,,Foreigner,NA,,,,2,1,,Jandola hospital,24.3,75.74
323,Sunday-July 24-2011,,Holiday,Weekend,,South waziristan,32.3202,69.8597,FATA,Security Checkpost in chak Malai Area,Military,High,Open,,Military,NA,,1,,7,1,,,25.195,77.351
324,Saturday-August 6-2011,,Working Day,,,Mohmand Agency ,32.9746,70.1456,Fata,Danish Kol Bazaar Pandyali,Market,Low,Open,,Military,NA,,1,,0,1,,,24.745,76.541
325,Thursday-August 11-2011,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Check post near lahori gate,Police,High,Open,,Police,NA,0,2,,12,1,,,30.1,86.18
326,Friday-August 19-2011,,Working Day,,Friday prayer time,Khyber Agency,34.0211,71.2874,KPK,Jamia Masjid Madina in Ghundi Area of Jamrud,Religious,Medium,Closed,,Civilian,NA,47,60,70,130,1,,Tehsil Headquarters hospital Jamrud-Hayatabad Medical complex-Khyber Teaching Hospital,30.6,87.08
327,Wednesday-August 31-2011,5 SHawwal 1432 A.H.,Holiday,Eid-ul-Fitar,Wednesday Morning just after offering Eid prayers,Quetta,30.2095,67.0182,Baluchistan,near the Eidgah in Marriabad Major Muhammad Ali Shaheed Road.,Religious,Medium,Open,,religious,Shiite,11,13,12,25,1,60kg,city hospitals ,25.59,78.062
328,Thursday-September 1-2011,6 SHawwal 1432 A.H.,Holiday,Eid-ul-Fitar,Thursday night ,Lakki marwat,32.6018,70.9148,KPK,near a police station in Darra Pezu Town,Police,High,Open,,Police,NA,3,2,14,25,1,300kg,NA,20.84,69.512
329,Wednesday-September 7-2011,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,FC DIG's residence at Anscumb road ,Military,High,Closed,,Military,NA,26,28,60,82,2,100kg,Civil hospital-CMH,28.465,83.237
330,Thursday-September 15-2011,,Working Day,,After noon,Lower Dir,34.8453,71.9046,KPK,Jandola Town in Lower Dir-100 km from swat valley,Park/Ground,Low,Open,,Civilian,NA,26,34,63,75,1,NA,,27.235,81.023
331,Monday-September 19-2011,,Working Day,,7:30 AM,karachi,24.9918,66.9911,Sindh,Street 32-off Saba Avenue-DHA Phase VIII-house of CID SSP,Police,High,Open,,Police,NA,,8,4,7,1,300kg,,29.195,84.551
332,Friday-October 28-2011,,Working Day,,,Nowshehra,34.0322,73.0944,KPK,Risalpur area of the Nowshera district,Police,,,,Police,NA,,2,,,1,,,17.535,63.563
333,Monday-November 7-2011,,Working Day,,,Swabi ,34.1335,72.4702,KPK,Malikabad area of Swabi,Government Official,,,,Government Official,,,3,,9,,,,19.065,66.317
334,Wednesday-November 16-2011,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Sea view-clifton-at lover's point adjacent to village hotel,Mobile,low,Open,,Police,None,5,7,,1,1,NA,Jinnah Postgraduate Medical Center,25.305,77.549
335,Friday-November 18-2011,,Working Day,,3:38AM,Karachi,24.9918,66.9911,Sindh,Block 13-near Pehlwan Goth roundabout-Gulistan-e-Jauhar,Residence,low,Closed,,Military,None,,1,,,1,NA,Jinnah Postgraduate Medical Center,27.245,81.041
336,Saturday-December 24-2011,,Working Day,,5:30 AM/5:40 AM,Bannu,32.935,70.6688,KPK,Tochi Scouts headquarters in Bannu,Military,High,Open,,Military,None,4,6,18,19,1,500 kg,CMH Bannu,7.28,45.104
337,Tuesday-January 3-2012,,Working Day,,1:00 PM,Gujrat,32.5737,74.0786,Punjab,Gorali village-4 km from Gujrat,Park/Ground,Low,Open,,Civilian,None,,2,,,1,NA,NA,10.935,51.683
338,Tuesday-January 3-2012,,Working Day,,2:00 PM,Peshawar,34.0043,71.5448,KPK,trade center on arbab road in university town,Market,Low,Closed,,Civilian,None,,2,19,28,1,5-6kg,Khyber teaching Hospital,12.07,53.726
339,Tuesday-January 3-2012,,Working Day,,2:15 PM,Khyber Agency,34.0211,71.2874,FATA,landikotal town,Market,Low,open,,Civilian,None,,3,7,9,1,NA,,11.285,52.313
340,Saturday-January 14-2012,,Working Day,,2:00 PM,D.I Khan,31.8238,70.9095,KPK,District police officer's office,Police,High,Open,,Police,None,4,8,7,10,3,NA,District Headquarters Hospital,6.71,44.078
341,Monday-January 30-2012,,Working Day,,4:00 PM,Peshawar,34.0043,71.5448,KPK,Pakha Ghullam area,Residence,Low,Open,,Anti-Militants,None,3,4,7,8,1,3kg,Lady Reading Hospital,11.325,52.385
342,Friday-February 17-2012,,Working Day,,2:00 PM,Kuram Agency ,32.9746,70.1456,FATA,Parachinar Outside Shia Mousque,Market,Low,Open,,Civilian,Shiite,21,28,,36,1,NA,Agency Headquarter Hospital,0.04,32.072
343,Thursday-February 16-2012,,Working Day,,,Upper Dir,35.1977,71.8749,FATA,Dir Town in Northwestren Districk of Upperdir near Afghan Boarder,Market,Low,Open,,Civilian,None,1,1,3,3,1,NA,,4.985,40.973
344,Friday-February 24-2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,C-Division Police Station (Kotwali police Stataion),Police,High,Closed,,Police,None,0,4,,6,3,NA,,9.905,49.829
345,Saturday-March 3-2012,,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Shabqadar town 35KM northeast of Peshawar,Mobile,High,Open,,Government Official,None,0,1,,6,1,6kg,Lady Reading Hospital (LRH),16.955,62.519
346,Sunday-March 4-2012,,Holiday,Weekend,,D.I Khan,31.8238,70.9095,KPK,Police patrol in main market area of D.I Khan KPK,Mobile,Low,Open,,Police,None,,0,,3,1,NA,District Headquarters Hospital,15.735,60.323
347,Sunday-March 11-2012,,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Badaber Area 15Km from Peshawer,Park/Ground,Low,Open,,Government Official,None,14,15,30,33,1,6Kg,Lady Reading Hospital (LRH),13.33,55.994
348,Thursday-March 15-2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Pishtakhara Square-Close to Bara-Khayber Aagency,Police,Low,Open,,Police,None,1,1,2,5,1,6kg,Hayatabad Medical Hospital-Khyber Teaching Hospital,15.75,60.35
349,Friday-March 23-2012,,Working Day,,,Khyber Agency,34.0211,71.2874,KPK,Akkakhel area of Bara in Khyber Agency,Religious,Low,Open,,Anti-Militants,None,5,13,9,10,1,NA,,19.65,67.37
350,Thursday-April 5-2012,,Working Day,,7:56 PM,Karachi,24.9918,66.9911,Sindh,Garision Area of Malir,Mobile,Low,Open,,Police,None,4,7,12,14,1,NA,,31.345,88.421
351,Friday-May 4-2012,,Working Day,,7:45 AM,Bajaur Agency,34.8718,71.5249,FATA,security checkpoint in the middle of Khar Bazaar ,Market,Low,Open,,Police,None,24,26,40,75,1,N/A,Agency Headquarters Hospital (AHH)-Lady Reading Hospital (LRH)-,24.58,76.244
352,Tuesday-June 12-2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Bazidkhel Village-Badhaber Area,Mobile,Low,Open,,Anti-Militants,None,2,3,,5,1,8Kg,Lady Reading Hospital (LRH),30.605,87.089
353,Thursday-June 28-2012,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Hazar Ganji Area,Mobile,Low,Open,,Religious,Shiite,13,14,20,30,1,50kg,Civil hospital-Bolan Medical Complex-CMH,28.455,83.219
354,Monday-July 16-2012,,Working Day,,9:30AM,Bannu,32.935,70.6688,KPK,Old City Police Station,Police,High,Closed,,Police,None,2,7,2,8,1,NA,District Hospital Bannu,24.555,76.199
355,Monday-September 3-2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Abdara Road,foreign,Low,Open,,Foreigner,None,0,2,18,21,1,100-110kg,Khyber Teaching Hospital-American Club,29.015,84.227
356,Monday-September 10-2012,,Working Day,,2:40pm,Kuram Agency ,32.9746,70.1456,FATA,Kashmir Chowk-Parachinar,Market,Low,Open,,Civilian,None,14,15,40,80,1,NA,,19.935,67.883
357,Saturday-October 13-2012,,Holiday,Weekend,10:35am,Dara Adam khel,33.6854,71.5131,KPK,Darra Bazar-Near Headquarters of Pro-Ggovernment Peac Body,Market,Medium,Open,,Anti-Militants,None,13,20,39,41,1,30kg,Lady Reading Hospital,23.495,74.291
358,Sunday-November 4-2012,,Holiday,Weekend,2:00 PM / 2:30 PM,Buner,34.3943,72.6151,KPK,Near District Headquarters Hospital in Daggar Area,Mobile,Low,Open,,Anti-Militants,None,5,6,7,10,1,,District Headquarters Hospital ,19.195,66.551
359,Wednesday-November 7-2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Near Khan Razzaq Police Station-Qissa Khawani Bazaar,Mobile,High,Open,,Police,None,6,8,28,37,1,7kg-8kg,Lady Reading Hospital,19.825,67.685
360,Thursday-November 8-2012,,Working Day,,6:55am,Karachi,24.9918,66.9911,Sindh,Sachal Rangers' Headquarters-North Nazimabad Block B Area,Military,High,Open,,Military,None,0,3,18,23,1,100kg-150kg,Abbasi Shaheed Hospital-Sindh Rangers Hospital-PNS Shifa Hospital,25.995,78.791
361,Monday-November 19-2012,,Working Day,,,Mohmand Agency ,32.9746,70.1456,FATA,Ghaiba Khwar Area of Haleemzai Tehsil,Mobile,Low,Open,,Government Official,None,0,0,3,4,1,NA,Ghallanai Headquarter Hospital,7.52,45.536
362,Wednesday-November 21-2012,,Working Day,,6:15pm,Karachi,24.9918,66.9911,Sindh,Orangi Town Sec-5E-Near Haider-e-Qarrar Imambargah,Religious,High,Open,Muharram Procession,Religious,Shiite,3,4,4,7,1,4kg-5kg,Qatar Hospital-Abbasi Shaheed Hospital,22.22,71.996
363,Wednesday-November 21-2012,,Working Day,,,Rawalpindi,33.6058,73.0437,Punjab,Imambargah Qasar-e-Shabbir in Dhok Syedan-Misrial Road,Religious,High,Open,Muharram Procession,Religious,Shiite,12,20,25,40,1,NA,DHQ-Combined Military-Benazir Bhutto Hospital,16.795,62.231
364,Sunday-November 25-2012,,Holiday,Ashura,,D.I Khan,31.8238,70.9095,KPK,Commissionary Bazaar-Choglia Area,Market,High,Open,Muharram Procession,religious,Shiite,5,6,70,80,1,12kg,District Headquarter Teaching Hospital-Combined Military Hospital,12.21,53.978
365,Thursday-November 29-2012,,Working Day,,NA,South Waziristan,32.3202,69.8597,FATA,Rustam Bazaar,Mobile,Low,Open,,Anti-Militants,None,5,8,10,18,1,,Tehsil Headquarter Hospital Wana,3.895,39.011
366,Tuesday-December 4-2012,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Haved Police Station Bannu,Police,High,Open,,Police,None,,,6,10,1,600kg-800kg,DHQ Hospital Bannu,15.435,59.783
367,Wednesday-December 5-2012,,Working Day,,6:30AM,South waziristan,32.3202,69.8597,FATA,Zaree Noor Camp-Angoor Adda Rd,Military,High,Open,,Military,None,2,3,20,25,1,,First Treatment Hospital,7.1,44.78
368,Saturday-December 22-2012,,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Dhaki Nalbandi Area-Qissa Khwani Bazar,Residence,High,Closed,,Government Official,None,,9,17,20,1,4kg-6kg,Lady Reading Hospital,15.065,59.117
369,Thursday-January 10-2013,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Two suicide bombers blew themselves up at a crowded snooker club on Alamdar Road,Market,High,Closed,,Civilian,Shiite,51,93,116,121,2,,Civil Hospital and the Combined Military Hospital-Quetta,9.06,48.308
370,Friday-February 1-2013,,Working Day,,Friday prayer time,Hangu,33.5351,71.0713,KPK,Masjid Faizullah and Masjid Purdil near Marketplace,Religious,High,Open,Possibley anti-taliban Sunni Council,Civilian,Sunni,24,27,40,50,1,,DHQ-Kohat,10.79,51.422
371,Thursday-February 14-2013,,Working Day,,,Hangu,33.5351,71.0713,KPK,Security checkpost located in Tal area of Hangu ,Military,High,Open,FC check post,Military,None,7,,8,23,1,,,12.12,53.816
372,Thursday-February 14-2013,,Working Day,,,Bannu,32.935,70.6688,KPK,Maryan police station in Frontier Region Bannu,Police,High,Open,TTP avenged killing of their fighters in custody and bodies thrown in Miramshah,Police,None,0,0,1,,4,,,8.31,46.958
373,Saturday-February 16-2013,,Working Day,Weekend,6:00pm,Quetta,30.2095,67.0182,Baluchistan,Kirani Road near Hazara Town,Market,Medium,Open,,Civilian,Shiite,64,84,180,200,1,1000kg,Civil Hospital and the Combined Military Hospital,5.49,41.882
374,Monday-February 18-2013,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Khyber Agency's Political Agent Office in Peshawar,Office Building,High,Closed,,Government Official,None,5,,7,,2,6kg,Lady Reading Hospital,15.55,59.99
375,Monday-March 18-2013,,Working Day,,12:10pm,Peshawar,34.0043,71.5448,KPK,Judicial Complex loacated on Khyber Road,Office Building,High,open,Court Proceeding,Government Official,None,2,4,22,47,2,6kg,Lady Reading Hospital,18.725,65.705
376,Saturday-March 23-2013,,Holiday,Pakistan Day,,North waziristan,32.9746,70.1456,FATA,Security Checkpost near Miramshah,Military,High,Open,Tochi Scouts Check Post Building,Military,None,8,22,20,35,1,,,6.44,43.592
377,Friday-March 29-2013,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Near security check post Saddar Cantt area of Peshawar,Market,High,Open,FC convoy,Military,None,5,12,11,35,,,Lady Reading Hospital,21.525,70.745
378,Tuesday-April 16-2013,,Working Day,,,Peshawar,34.0043,71.5448,KPK,The bomb blast took place in Yakatoot in Kotwali Abid Khan,Market,High,Open,Election campain gathering of a Secular Party,Civilian,None,16,18,49,60,1,6kg,Lady Reading Hospital,22.805,73.049
379,Tuesday-April 16-2013,,Working Day,,5:30pm,North waziristan,32.9746,70.1456,FATA,Near Dirdhoni Check Post,Military,High,Open,Military Convoy,Military,None,7,9,8,18,1,,Military Hospital Miranshah,16.9,62.42
380,Saturday-April 20-2013,,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Outside Headquarter Hospital,Office Building,High,Open,,Civilian,None,4,4,4,4,1,#N/A,Headquarter Hospital Bajour Agency,18.81,65.858
381,Tuesday-April 23-2013,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Paramilitary check post near the Shiite neighbourhood,Residence,High,Open,Secratian,Civilian,Shiite,6,6,37,40,1,,,17.65,63.77
382,Monday-April 29-2013,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Jehangir Abad neighbourhood on Arbab Road,Market,High,Open,,civilian,None,8,10,30,45,,6kg,Khyber Teaching Hospital,23.69,74.642
383,Wednesday-May 1-2013,,Holiday,Labour Day,,Shikarpur,28,68.6667,Sindh,Southern Shikarpur district of Sindh province-some 400 kilometres (250 miles) northeast of Karachi,Mobile,Low,Open,Parliamentary Candidate from National People's Party in Sindh,civilian,None,1,1,2,2,,,,30.715,87.287
384,Tuesday-May 7-2013,,Working Day,,,Hangu,33.5351,71.0713,KPK,Near Market in the town of Doaba,Market,High,Open,KP 43 Election Candidate Syed Janan of JUIF,Civilian,None,12,12,35,40,,,,25.335,77.603
385,Wednesday-May 8-2013,,Working Day,,5:30am,Bannu,32.935,70.6688,KPK,Domail Police station Bannu,Police,High,Open,Bannu Police,Police,None,2,3,23,27,,,Government Hospital Bannu,20.715,69.287
386,Saturday-May 11-2013,,Holiday,General Elections,Evening,Karachi,24.9918,66.9911,Sindh,Manghopir,Military,Medium,Open,,Military,,2,2,3,5,,,,30.64,87.152
387,Sunday-May 12-2013,,Holiday,Weekend,Evening,Quetta,30.2095,67.0182,Baluchistan,Residence IG Police province of Balochistan,Police,High,Open,,Police,None,6,7,45,68,,,Civil Hospital,23.635,74.543
388,Friday-May 24-2013,,Working Day,,Noon,Peshawar,34.0043,71.5448,KPK,Outside Jamia Uloom al-Islamia Peshawar,Religious,High,Open,Afghan Religious Leader Haji Hidayatullah,religious,None,3,3,2,2,,6kg,,34.725,94.505
389,Monday-June 3-2013,,Working Day,,,North waziristan,32.9746,70.1456,FATA,Razmak town 20kms to the north of Miramshah,Military,High,Open,Security Checkpost,Military,None,,,2,2,,,,21.715,71.087
390,Saturday-June 15-2013,,Working Day,,Noon,Quetta,30.2095,67.0182,Baluchistan,Parking of Sardar Bahadur Khan University-Quetta,Educational,Low,Open,,civilian,None,12,14,19,19,,,Bolan Medical Complex Quetta,29.55,85.19
391,Saturday-June 15-2013,,Working Day,,Noon,Quetta,30.2095,67.0182,Baluchistan,Bolan Medical Complex,Hospital,Low,Closed,Security officials visiting victims of suicide attack on student bus of Sarda Bahdur Khan Women Univrsity ,Police,None,11,11,,,,,Bolan Medical Complex Quetta,29.55,85.19
392,Tuesday-June 18-2013,,Working Day,,4pm,Mardan,34.1982,72.0444,KPK,Zaragaranoo Kallay-Ittehad Colony Mardan,Park/Ground,Low,Open,Police officials argue that Imran Khan Mohmand-a provincial lawmaker seems to have been the target,civilian,None,27,34,52,60,,7-8kg, Tehsil Headquarters Takht Bhai-Mardan Medical Complex and Lady Reading Hospital in Peshawar,27.465,81.437
393,Friday-June 21-2013,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Gulshan Colony,Religious,High,Closed,Sectarian strife,Civilian,Shiite,14,15,28,30,,6-7Kg,Lady Reading Hospital,35,95
394,Sunday-June 30-2013,,Holiday,Weekend,Evening,Quetta,30.2095,67.0182,Baluchistan,Hazara Town,Religious,High,Open,Sectarian strife,Civilian,Shiite,28,30,65,70,,,Bolan Medical Complex Quetta-CMH-Civil Hospital,30.915,87.647
395,Monday-July 8-2013,,Working Day,,,Hangu,33.5351,71.0713,KPK,Doaba Bazaar,Market,High,Open,Tribal elder Malik Habibullah Khan was the target,Civilian,,6,8,10,10,,,,30.72,87.296
396,Thursday-July 25-2013,,Working Day,,Evening,Sukkur,27.6833,68.8667,Sindh,Sukkur Barrage Colony,Police,Low,Open,Coordinated assault on ISI sukkur office building,Military,None,8,9,30,30,2,,,36.345,97.421
397,Friday-July 26-2013,,Working Day,,Evening,Kuram Agency ,32.9746,70.1456,KPK,Parachinar Bazaar,Market,High,Open,,Civilian,Shiite,43,50,180,200,2,,Parachinar Headquarters Hospital,26.015,78.827
398,Thursday-August 8-2013,,Holiday,Eid Holidays,,Quetta,30.2095,67.0182,Baluchistan,Police Headquarters Quetta,Police,High,Open,Gathering on Funeral prayers of SHO City Mohibullah who was shot dead earlier in the day,Police,None,30,38,50,60,1,8kg,Civil Hospital and CMH Quetta,31.06,87.908
399,Sunday-September 22-2013,,Holiday,,,Peshawar,34.0043,71.5448,KPK, All Saints Church near Qissa Khawani bazaar in  Peshawar,Religious,High,Open,Two suicide attackers blew themselves up outside a church near Qissa Khawani bazaar,Civilian,None,78,81,100,145,2,,Lady Reading Hospital,29.84,85.712
400,Wednesday-October 2-2013,,Working Day,,,Chaman,30.9222,66.4447,Baluchistan,southwestern border crossin between Afghanistan and Pakistan,Office Building,High,Open,,Government Official,None,6,8,10,16,1,,,24.42,75.956
401,Thursday-October 3-2013,,Working Day,,,Hangu,33.5351,71.0713,KPK,Spin Tall region of Hangu,Residence,High,Open,A Compound of an anti-Taliban militia commander Mullah Nabi Hanafi was targetted by militants,Anti-Militants,None,15,17,22,22,1,,,25.96,78.728
402,Friday-October 11-2013,,Working Day,,,South waziristan,32.3202,69.8597,FATA,Wana-main town of South waziristan,Military,High,Open,Military Convoy,Military,None,2,2,2,2,,,,19.61,67.298
403,Wednesday-October 16-2013,,Holiday,Eid Holidays,Evening,D. I Khan,31.8238,70.9095,KPK,Tehsil Kulachi-50km away from D.I Khan,Residence,High,Open,KP Law Minister Israrullah Gandapur was targeted and killed in the attack,Civilian,None,8,9,30,30,,,,28.61,83.498
404,Saturday-November 16-2013,,Holiday,Weekend,,Bannu,32.935,70.6688,KPK,Near River Kurram bridge,Mobile,High,Open,Targeted van of security forces ,Military,None,0,0,7,7,,,CMH Bannu,13.09,55.562
405,Tuesday-November 19-2013,,Working Day,,,North waziristan,32.9746,70.1456,FATA,Mir Ali town of Miramshah,Park/Ground,High,Open,It is said that Bannu TTP Militant commander Saifuddin was the target,Anti-Militants,None,7,7,1,1,,,,12.545,54.581
406,Friday-November 22-2013,,Working Day,,10:55 AM,Khyber Agency,34.0211,71.2874,KPK,Torkhan customs office in Landikotal,Office Building,Medium,Closed,,Government Official,None,0,0,26,26,,5kg,Hayatabad Medical Complex-Peshawar,15.985,60.773
407,Tuesday-December 17-2013,,Working Day,,Evening,Rawalpindi,33.6058,73.0437,Punjab,Gracy line area near Airport,Religious,Medium,Open,Sectarian strife,Civilian,Shiite,3,3,14,,,,Benazir Bhutto Hospital and District Headquarters Hospital,14.39,57.902
408,Wednesday-December 18-2013,,Working Day,,Evening,North waziristan,32.9746,70.1456,FATA,Kharoji checkpoint-about three kilometres east of Miranshah,Military,High,Open,Targeted security checkpoint as a revenge for killing Hakimullah Mahsud,Military,None,5,5,25,34,,,,8.19,46.742
409,Friday-December 20-2013,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Pakhtoon Chowk close to Old Sabzi Mandi-Karachi,Market,Medium,Open,Inspector Shafiq Tanoli was targeted,Police,None,2,2,20,21,,,Jinnah Hospital,18.735,65.723
410,Wednesday-January 1-2014,,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Qambrani Road in Akhtarabad-on the outskirts of Quetta,Transport,High,Open,Sectarian strife,Civilian,Shiite,2,3,30,31,,,Bolan Medical Complex,1.605,34.889
411,Monday-January 6-2014,,Working Day,,,Hangu,33.5351,71.0713,KPK,Shia-dominated Ibrahimzai area of Hangu district,Educational,High,Open,Sectarian strife,Civilian,Shiite,2,2,2,2,,,,9.235,48.623
412,Thursday-January 9-2014,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Near Essa Nagri at the Lyari Expressway,Mobile,Low,Open,Superintendent of Police (SP) Crime Investigation Department (CID) Chaudhry Aslam was the TTP target,Police,None,3,3,7,11,,20-25kg,Agha Khan University Hospital,15.395,59.711
413,Monday-January 20-2014,,Working Day,,7:45 AM,Rawalpindi,33.6058,73.0437,Punjab,R.A Bazaar,Market,High,Open,TTP claimed this attack as ‘payback’ for a deadly military raid on the Lal Masjid (Red Mosque) in Rawalpindi in 2007.,Military,None,13,13,15,15,,,,11.455,52.619
414,Thursday-January 23-2014,,,,,Peshawar,34.0043,71.5448,KPK,Kohat road,,,,,,,,6,,8,,,,11.11,51.998
